restaurant_id,name,link,city,area,cuisine,rating,votes,has_online_delivery,has_table_booking,price
462162,Joshh - Indian Street Eats,https://www.swiggy.com/dapi/menu/pl?restaurantId=462162,mumbai,Powai,"Indian, North Indian, South Indian, Thalis, Ice Cream, Snacks, Street Food, Chaat, Desserts",4.4,6.1K+,1,0,₹200 for two
730411,Jimis Burger,https://www.swiggy.com/dapi/menu/pl?restaurantId=730411,mumbai,Powai,"Burgers, Fast Food, Beverages",4.6,3.0K+,1,0,₹600 for two
621758,Bombay Sweet Shop,https://www.swiggy.com/dapi/menu/pl?restaurantId=621758,mumbai,Powai,"Sweets, Desserts, Snacks",4.6,1.1K+,1,0,₹700 for two
399206,1441 Pizzeria,https://www.swiggy.com/dapi/menu/pl?restaurantId=399206,mumbai,Powai,"Italian, Pizzas, Pastas",4.4,3.7K+,1,0,₹500 for two
693079,Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=693079,mumbai,Powai,Desserts,4.6,5.2K+,1,0,₹400 for two
578577,Bakingo-Cakes & Desserts,https://www.swiggy.com/dapi/menu/pl?restaurantId=578577,mumbai,IIT main gate Powai,"Bakery, Desserts, Beverages, Snacks",4.6,3.3K+,1,0,₹299 for two
254571,Wow! Momo,https://www.swiggy.com/dapi/menu/pl?restaurantId=254571,mumbai,Chandivali,"Momos, Chinese, fastfood, Asian, Beverages",4.2,4.8K+,1,0,₹300 for two
382234,Good Flippin' Burgers,https://www.swiggy.com/dapi/menu/pl?restaurantId=382234,mumbai,Powai,"Burgers, American, Fast Food, Beverages",4.5,4.4K+,1,0,₹600 for two
11224,Thambbi,https://www.swiggy.com/dapi/menu/pl?restaurantId=11224,mumbai,Powai,"South Indian, Punjabi, Snacks, Thalis",4.6,28K+,1,0,₹400 for two
681223,GLOBO Ice Creams Of The World,https://www.swiggy.com/dapi/menu/pl?restaurantId=681223,mumbai,Powai,"Ice Cream, Desserts, Bakery",3,23,1,0,₹150 for two
31860,Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=31860,mumbai,Powai,"sandwich, Salads, wrap, Healthy Food",4.5,31K+,1,0,₹350 for two
679169,Suchali's Artisan Bakehouse,https://www.swiggy.com/dapi/menu/pl?restaurantId=679169,mumbai,Powai,"Bakery, Desserts, Beverages",4.7,836,1,0,₹600 for two
564691,Sweet County Cake Shop,https://www.swiggy.com/dapi/menu/pl?restaurantId=564691,mumbai,Powai,"Desserts, Bakery, Snacks",4.6,1.2K+,1,0,₹500 for two
323509,Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=323509,mumbai,Powai,"Chinese, Asian, Tibetan, Desserts",4.3,8.5K+,1,0,₹300 for two
668680,McDonald's Gourmet Burger Collection,https://www.swiggy.com/dapi/menu/pl?restaurantId=668680,mumbai,Saki Vihar Powai,"Burgers, Beverages, Cafe, Desserts",4.8,101,1,0,₹400 for two
812556,Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=812556,mumbai,Powai,"Bakery, Desserts",4.6,781,1,0,₹300 for two
39676,Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=39676,mumbai,Powai,Pastas,4.2,18K+,1,0,₹400 for two
1068306,Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=1068306,mumbai,GODREJ URBAN PARK,"Pizzas, Italian, Pastas, Desserts",4.1,538,1,0,₹400 for two
668678,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=668678,mumbai,Saki Vihar Powai,"Burgers, Beverages, Cafe, Desserts",4.5,6.6K+,1,0,₹400 for two
7012,KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=7012,mumbai,Powai,"Burgers, Fast Food, Rolls & Wraps",4.3,35K+,1,0,₹400 for two
323972,SNS Mexican Shack,https://www.swiggy.com/dapi/menu/pl?restaurantId=323972,mumbai,Adi Sankaracharya Marg,"Mexican, Salads, Burgers, Tex-Mex, Beverages, Fast Food",4.7,1.3K+,1,0,₹500 for two
325145,Smokin Curries,https://www.swiggy.com/dapi/menu/pl?restaurantId=325145,mumbai,Powai,"Biryani, Indian, Kebabs, Tandoor, Fast Food, Desserts, Beverages",4.5,4.3K+,1,0,₹400 for two
392233,Rasobongo,https://www.swiggy.com/dapi/menu/pl?restaurantId=392233,mumbai,Powai,"Bengali, Sweets, Snacks",4.6,5.5K+,1,0,₹150 for two
941143,Cookie Cartel,https://www.swiggy.com/dapi/menu/pl?restaurantId=941143,mumbai,Powai,"Desserts, Bakery",4.8,31,1,0,₹349 for two
39676,Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=39676,mumbai,Powai,Pastas,4.2,18K+,1,0,₹400 for two
668678,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=668678,mumbai,Saki Vihar Powai,"Burgers, Beverages, Cafe, Desserts",4.5,6.6K+,1,0,₹400 for two
7012,KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=7012,mumbai,Powai,"Burgers, Fast Food, Rolls & Wraps",4.3,35K+,1,0,₹400 for two
794904,Bina's Fresh Batch Ice Cream,https://www.swiggy.com/dapi/menu/pl?restaurantId=794904,mumbai,Powai,"Ice Cream, Desserts",4.6,202,1,0,₹800 for two
462162,Joshh - Indian Street Eats,https://www.swiggy.com/dapi/menu/pl?restaurantId=462162,mumbai,Powai,"Indian, North Indian, South Indian, Thalis, Ice Cream, Snacks, Street Food, Chaat, Desserts",4.4,6.1K+,1,0,₹200 for two
730411,Jimis Burger,https://www.swiggy.com/dapi/menu/pl?restaurantId=730411,mumbai,Powai,"Burgers, Fast Food, Beverages",4.6,3.0K+,1,0,₹600 for two
621758,Bombay Sweet Shop,https://www.swiggy.com/dapi/menu/pl?restaurantId=621758,mumbai,Powai,"Sweets, Desserts, Snacks",4.6,1.1K+,1,0,₹700 for two
399206,1441 Pizzeria,https://www.swiggy.com/dapi/menu/pl?restaurantId=399206,mumbai,Powai,"Italian, Pizzas, Pastas",4.4,3.7K+,1,0,₹500 for two
693079,Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=693079,mumbai,Powai,Desserts,4.6,5.2K+,1,0,₹400 for two
578577,Bakingo-Cakes & Desserts,https://www.swiggy.com/dapi/menu/pl?restaurantId=578577,mumbai,IIT main gate Powai,"Bakery, Desserts, Beverages, Snacks",4.6,3.3K+,1,0,₹299 for two
254571,Wow! Momo,https://www.swiggy.com/dapi/menu/pl?restaurantId=254571,mumbai,Chandivali,"Momos, Chinese, fastfood, Asian, Beverages",4.2,4.8K+,1,0,₹300 for two
382234,Good Flippin' Burgers,https://www.swiggy.com/dapi/menu/pl?restaurantId=382234,mumbai,Powai,"Burgers, American, Fast Food, Beverages",4.5,4.4K+,1,0,₹600 for two
11224,Thambbi,https://www.swiggy.com/dapi/menu/pl?restaurantId=11224,mumbai,Powai,"South Indian, Punjabi, Snacks, Thalis",4.6,28K+,1,0,₹400 for two
681223,GLOBO Ice Creams Of The World,https://www.swiggy.com/dapi/menu/pl?restaurantId=681223,mumbai,Powai,"Ice Cream, Desserts, Bakery",3,23,1,0,₹150 for two
31860,Subway,https://www.swiggy.com/dapi/menu/pl?restaurantId=31860,mumbai,Powai,"sandwich, Salads, wrap, Healthy Food",4.5,31K+,1,0,₹350 for two
679169,Suchali's Artisan Bakehouse,https://www.swiggy.com/dapi/menu/pl?restaurantId=679169,mumbai,Powai,"Bakery, Desserts, Beverages",4.7,836,1,0,₹600 for two
564691,Sweet County Cake Shop,https://www.swiggy.com/dapi/menu/pl?restaurantId=564691,mumbai,Powai,"Desserts, Bakery, Snacks",4.6,1.2K+,1,0,₹500 for two
323509,Chinese Wok,https://www.swiggy.com/dapi/menu/pl?restaurantId=323509,mumbai,Powai,"Chinese, Asian, Tibetan, Desserts",4.3,8.5K+,1,0,₹300 for two
668680,McDonald's Gourmet Burger Collection,https://www.swiggy.com/dapi/menu/pl?restaurantId=668680,mumbai,Saki Vihar Powai,"Burgers, Beverages, Cafe, Desserts",4.8,101,1,0,₹400 for two
812556,Cheesecake & Co.,https://www.swiggy.com/dapi/menu/pl?restaurantId=812556,mumbai,Powai,"Bakery, Desserts",4.6,781,1,0,₹300 for two
39676,Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=39676,mumbai,Powai,Pastas,4.2,18K+,1,0,₹400 for two
1068306,Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=1068306,mumbai,GODREJ URBAN PARK,"Pizzas, Italian, Pastas, Desserts",4.1,538,1,0,₹400 for two
668678,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=668678,mumbai,Saki Vihar Powai,"Burgers, Beverages, Cafe, Desserts",4.5,6.6K+,1,0,₹400 for two
7012,KFC,https://www.swiggy.com/dapi/menu/pl?restaurantId=7012,mumbai,Powai,"Burgers, Fast Food, Rolls & Wraps",4.3,35K+,1,0,₹400 for two
323972,SNS Mexican Shack,https://www.swiggy.com/dapi/menu/pl?restaurantId=323972,mumbai,Adi Sankaracharya Marg,"Mexican, Salads, Burgers, Tex-Mex, Beverages, Fast Food",4.7,1.3K+,1,0,₹500 for two
325145,Smokin Curries,https://www.swiggy.com/dapi/menu/pl?restaurantId=325145,mumbai,Powai,"Biryani, Indian, Kebabs, Tandoor, Fast Food, Desserts, Beverages",4.5,4.3K+,1,0,₹400 for two
392233,Rasobongo,https://www.swiggy.com/dapi/menu/pl?restaurantId=392233,mumbai,Powai,"Bengali, Sweets, Snacks",4.6,5.5K+,1,0,₹150 for two
941143,Cookie Cartel,https://www.swiggy.com/dapi/menu/pl?restaurantId=941143,mumbai,Powai,"Desserts, Bakery",4.8,31,1,0,₹349 for two
63217,Pizza Hut,https://www.swiggy.com/dapi/menu/pl?restaurantId=63217,mumbai,Malad West,Pizzas,4.2,12K+,1,0,₹300 for two
23729,McDonald's,https://www.swiggy.com/dapi/menu/pl?restaurantId=23729,mumbai,Malad West,"Burgers, Beverages, Cafe, Desserts",4.4,33K+,1,0,₹400 for two
24632,Burger King,https://www.swiggy.com/dapi/menu/pl?restaurantId=24632,mumbai,Malad West,"Burgers, American",4.1,19K+,1,0,₹350 for two
24477,Domino's Pizza,https://www.swiggy.com/dapi/menu/pl?restaurantId=24477,mumbai,Malad Kan West,"Pizzas, Italian, Pastas, Desserts",4.3,11K+,1,0,₹400 for two
10773,Pishu's - Drink Your Fruit,https://www.swiggy.com/dapi/menu/pl?restaurantId=10773,mumbai,Malad West,"Juices, Beverages, Healthy Food",4.5,18K+,1,0,₹550 for two
6379,Greens Restaurant,https://www.swiggy.com/dapi/menu/pl?restaurantId=6379,mumbai,Malad West,"Chinese, South Indian",4.6,128K+,1,0,₹500 for two
689625,Bina's Fresh Batch Ice Cream,https://www.swiggy.com/dapi/menu/pl?restaurantId=689625,mumbai,Malad Kan West,"Desserts, Ice Cream",4.5,251,1,0,₹600 for two
351108,Grameen Kulfi,https://www.swiggy.com/dapi/menu/pl?restaurantId=351108,mumbai,Malad West,"Ice Cream, Desserts",4.7,1.5K+,1,0,₹120 for two
673365,Bombay Sweet Shop,https://www.swiggy.com/dapi/menu/pl?restaurantId=673365,mumbai,Malad West,"Sweets, Desserts, Snacks",4.7,1.0K+,1,0,₹700 for two
334050,Theobroma,https://www.swiggy.com/dapi/menu/pl?restaurantId=334050,mumbai,Malad West,"Bakery, Desserts",4.5,9.9K+,1,0,₹400 for two
6982,Jumboking Burgers,https://www.swiggy.com/dapi/menu/pl?restaurantId=6982,mumbai,Malad West,"American, Mexican, Fast Food, Snacks, Beverages",4.3,8.2K+,1,0,₹200 for two
25638,Barista Coffee,https://www.swiggy.com/dapi/menu/pl?restaurantId=25638,mumbai,Malad West,"Beverages, Snacks, Desserts",3.4,1.4K+,1,0,₹350 for two
9161,Sweet Bengal,https://www.swiggy.com/dapi/menu/pl?restaurantId=9161,mumbai,Malad West,"Sweets, Indian, Snacks, Desserts",4.7,7.9K+,1,0,₹150 for two
