has_online_delivery,Desserts,Beverages,Snacks,Fast Food,Bakery,Burgers,Ice Cream,Pizzas,Chinese,North Indian,cuisine_count,votes_log,city_tier_1,city_tier_2,price_bucket_High,price_bucket_Low,price_bucket_Luxury,price_bucket_Medium,restaurant_density_High,restaurant_density_Low,restaurant_density_Medium,rating
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.43175772088137865,0.418562067065081,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.2
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9324332356952423,0.49847281421793177,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.3
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.068917793932485,1.6299119741229142,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.068917793932485,1.0195465601826168,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.068917793932485,0.7639383355221068,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.5
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.572295368001803,0.2957078001079926,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.6
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068917793932485,0.5183368848219788,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43175772088137865,0.210258522052833,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.6
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0729708828156665,0.3337903190893976,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.5
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0702688235602122,0.03326893431222004,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0716198531879395,-4.548351275721192e-05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.4
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.068917793932485,0.4263424380716461,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.2
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43175772088137865,1.1333817478643098,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.433108750509106,0.016871955321440563,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.43175772088137865,-1.0568694977762598,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.5
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.433108750509106,0.04917652355104378,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.5
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5695933087463486,-0.7103623096294052,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.6
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0729708828156665,0.9662023710801044,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.4
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0702688235602122,-0.11466370709597222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.6
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.43175772088137865,-2.319018874362612,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.9
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9324332356952423,0.9069197658148181,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9324332356952423,0.6241042498897668,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.433108750509106,-0.26087776660853007,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.4
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.43175772088137865,0.4563756595758918,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.6
